City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
304,luangwa,-15.6167,30.4167,69.21,97,2,0.4,ZM,1675826311
305,sayyan,15.1718,44.3244,50.2,65,17,0.85,YE,1675826312
306,katobu,-4.9408,122.5276,87.33,57,71,6.89,ID,1675826312
307,yumen,40.2833,97.2,30.9,46,27,14.97,CN,1675826149
308,mbarara,-0.608,30.65,64.85,62,93,1.3,UG,1675826312
309,teahupoo,-17.8333,-149.2667,80.56,60,7,4.21,PF,1675826313
310,soavinandriana,-19.1667,46.7333,56.25,90,99,5.66,MG,1675826313
311,lazaro cardenas,17.9583,-102.2,74.17,81,0,3.53,MX,1675826313
312,paciran,-6.8767,112.3761,78.26,86,100,8.5,ID,1675826314
313,baykit,61.67,96.37,5.07,97,100,1.95,RU,1675826314
314,sembakung,3.8167,117.25,72.7,98,100,0.49,ID,1675826303
315,ancud,-41.8697,-73.8203,56.28,93,2,4.25,CL,1675826315
316,ariquemes,-9.9133,-63.0408,71.78,97,82,0.4,BR,1675826036
317,sangar,63.9242,127.4739,-35.95,94,100,2.8,RU,1675826315
318,acajutla,13.5928,-89.8275,76.82,72,7,9.13,SV,1675826315
319,kita,13.0349,-9.4895,74.52,16,48,5.7,ML,1675826316
320,ikalamavony,-21.15,46.5833,63.75,91,78,5.21,MG,1675826316
321,chunhuhub,19.55,-88.6833,68.7,98,11,2.98,MX,1675826316
322,tripoli,32.8752,13.1875,54.46,67,100,24.81,LY,1675826317
323,sinnamary,5.3833,-52.95,75.24,91,61,9.37,GF,1675826317
324,clyde river,70.4692,-68.5914,-30.77,68,0,5.75,CA,1675826317
325,statesville,35.7826,-80.8873,54.63,50,0,4.61,US,1675826285
326,dafeng,23.4517,108.5881,58.84,96,100,2.55,CN,1675826318
327,rio cuarto,-33.1307,-64.3499,78.57,57,0,6.91,AR,1675826318
328,mazamari,-11.3258,-74.5308,68.32,98,71,2.1,PE,1675826319
329,saint-philippe,-21.3585,55.7679,80.19,83,89,13.35,RE,1675826319
330,kathu,7.9178,98.3332,84.02,70,40,8.61,TH,1675826319
331,boyuibe,-20.4167,-63.2833,66.92,95,100,3.04,BO,1675826320
332,tieli,46.95,128.05,8.92,84,93,3.49,CN,1675826320
333,kurchaloy,43.2018,46.0881,21.06,87,100,10.76,RU,1675826320
334,hasaki,35.7333,140.8333,52.2,67,100,20.62,JP,1675826321
335,torbay,47.6666,-52.7314,26.38,87,75,24.16,CA,1675826321
336,porto velho,-8.7619,-63.9039,77.05,94,40,2.3,BR,1675826143
337,tacoronte,28.4769,-16.4102,54.25,92,100,4.61,ES,1675826322
338,nago,26.5881,127.9761,70.65,73,46,11.56,JP,1675826322
339,filadelfia,39.9523,-75.1638,42.17,79,100,6.91,US,1675826220
340,miri,4.4148,114.0089,78.01,81,99,3.09,MY,1675826048
341,sobolevo,54.4299,31.8996,4.1,99,65,3.65,RU,1675826323
342,faanui,-16.4833,-151.75,81.07,72,24,12.24,PF,1675826323
343,bambous virieux,-20.3428,57.7575,79.05,83,40,11.5,MU,1675826239
344,farafangana,-22.8167,47.8333,73.17,90,100,3.6,MG,1675826066
345,muros,42.7762,-9.0603,43.09,80,36,16.31,ES,1675826324
346,sabha,27.0377,14.4283,51.93,40,97,12.48,LY,1675826324
347,ixtapa,20.7,-105.2,70.83,83,0,0.0,MX,1675826325
